task_id,row_id,price_in_euro,year
1,0,99900.0,1997
1,1,1790.0,2002
1,2,3490.0,2004
1,3,1490.0,2005
1,4,2980.0,2006
1,5,2450.0,2008
1,6,5490.0,2009
1,7,39900.0,2022
1,8,48340.0,2023
1,9,3500.0,1996
1,10,11990.0,1997
1,11,1100.0,1999
1,12,3480.0,2000
1,13,1450.0,1997
1,14,3990.0,1998
1,15,1500.0,2001
1,16,1400.0,2002
1,17,1550.0,2003
1,18,1390.0,2004
1,19,2000.0,2005
1,20,1990.0,2006
1,21,1390.0,2007
1,22,3300.0,2008
1,23,1450.0,2009
1,24,7950.0,1997
1,25,4000.0,1998
1,26,2000.0,1999
1,27,2990.0,2000
1,28,1350.0,2001
1,29,1490.0,2002
1,30,1250.0,2003
1,31,1000.0,2004
1,32,1099.0,2005
1,33,2190.0,2006
1,34,1500.0,2005
1,35,1950.0,2006
1,36,1099.0,2007
1,37,1500.0,2008
1,38,5900.0,2009
1,39,5000.0,2010
1,40,3400.0,2011
1,41,16980.0,2012
1,42,24900.0,1995
1,43,17950.0,1996
1,44,3999.0,1999
1,45,2999.0,2002
1,46,14500.0,2004
1,47,5990.0,2005
1,48,2500.0,2006
1,49,72990.0,2014
1,50,63900.0,2015
1,51,66750.0,2016
1,52,68990.0,2017
1,53,77900.0,2019
1,54,249450.0,2009
1,55,249000.0,2010
1,56,289890.0,2011
1,57,2000.0,2003
1,58,3199.0,2005
1,59,1700.0,2008
1,60,7000.0,2005
1,61,7999.0,2006
1,62,5199.0,2007
1,63,3999.0,2008
1,64,13490.0,2009
1,65,14500.0,2010
1,66,1100.0,2004
1,67,10800.0,2005
1,68,1250.0,2006
1,69,6991.0,2007
1,70,1900.0,2008
1,71,9900.0,2009
1,72,7990.0,2010
1,73,1300.0,1995
1,74,2290.0,1996
1,75,1300.0,1997
1,76,2699.0,1998
1,77,16500.0,1999
1,78,2900.0,2000
1,79,6490.0,2004
1,80,24900.0,2005
1,81,13600.0,2006
1,82,22500.0,2010
1,83,21890.0,2016
1,84,14990.0,2017
1,85,21900.0,2018
1,86,101950.0,2019
1,87,26990.0,2020
1,88,213000.0,2021
1,89,50990.0,2022
1,90,47400.0,2023
1,91,13990.0,2010
1,92,10000.0,2011
1,93,12000.0,2012
1,94,8999.0,2013
1,95,10750.0,2014
1,96,11000.0,2015
1,97,10990.0,2016
1,98,10990.0,2017
1,99,23900.0,2018
1,100,16995.0,2019
1,101,20950.0,2020
1,102,22870.0,2021
1,103,3990.0,2008
1,104,6950.0,2009
1,105,5000.0,2010
1,106,7600.0,2011
1,107,5490.0,2012
1,108,7990.0,2013
1,109,10400.0,2014
1,110,10999.0,2015
1,111,16900.0,2016
1,112,12400.0,2017
1,113,13890.0,2018
1,114,4900.0,1995
1,115,5499.0,1996
1,116,10500.0,1997
1,117,3500.0,1998
1,118,10900.0,1999
1,119,21800.0,2000
1,120,6290.0,2001
1,121,5490.0,2002
1,122,5200.0,2003
1,123,28800.0,2004
1,124,11900.0,2005
1,125,11990.0,2006
1,126,10700.0,2007
1,127,10020.0,2008
1,128,13999.0,2009
1,129,14700.0,2010
1,130,19999.0,2011
1,131,1999.0,2006
1,132,4950.0,2007
1,133,3499.0,2009
1,134,3450.0,2010
1,135,12999.0,2012
1,136,26900.0,2017
1,137,28900.0,2018
